,city,price,rating,store,title,ulasan
2276,Bandung,2.699.000,0,"
tesalm shop
",Realme 3 Pro - Ram 4GB Rom 64GB,0
2277,Jakarta Timur,1.544.000,4.8,"
STAR SHOP
",Realme C2 Ram 3 32GB Resmi,5
2278,Jakarta Timur,1.854.000,0,"
STAR SHOP
",VIVO Y12 GARANSI RESMI,0
2279,Jakarta Timur,2.794.000,5.0,"
STAR SHOP
",Realme 5 pro Ram 4 128GB Garansi Resmi,1
2280,Jakarta Timur,1.499.000,4.5,"
STAR SHOP
",VIVO Y91,55
2281,Jakarta Timur,3.294.000,4.8,"
STAR SHOP
",VIVO S1 GARANSI RESMI,33
2282,Jakarta Timur,2.294.000,4.8,"
STAR SHOP
",VIVO Y15 RAM 4 64GB,64
2283,Jakarta Timur,2.000.000,4.9,"
STAR SHOP
",VIVO Y12,31
2284,Jakarta Timur,2.784.000,5.0,"
STAR SHOP
",Realme 3pro Ram 6 64GB,1
2285,Cilegon,4.250.000,0,"
SML Craft
",SALE... Motorola Moto Mods Insta-Share Projector 2nd,0
2286,Cilegon,4.250.000,0,"
SML Craft
",SALE... Motorola Moto Mods 360 Camera 2nd,0
2287,Bandar Lampung,4.500.000,0,"
Agung Nugroho
",Huawei P30 Pro 8 256GB Mulus Garansi Resmi,0
2288,Bandar Lampung,4.000.000,0,"
Agung Nugroho
",Samsung Galaxy A70 Black 2 bulan pakai garansi SEIN,0
2289,Jakarta Timur,2.199.000,4.9,"
BinTanG cell
",SAMSUNG M20,55
2290,Jakarta Barat,550.000,0,"
masterjadoel
",Sony Ericsson K770i Black,0
2291,Jakarta Barat,550.000,0,"
masterjadoel
",Nokia X5-01 Pink,0
2292,Jakarta Barat,550.000,0,"
masterjadoel
",Sony Ericsson T700 Silver Red,0
2293,Jakarta Timur,2.999.000,0,"
Pengoeasa
",Vivo Z1 Pro Ram 4GB internal 64GB Garansi Resmi,0
2294,Tangerang Selatan,3.000.000,0,"
Cipuy
",Pocophone F1 6gb 64gb warna biru,0
2295,Jakarta Timur,2.785.000,4.9,"
BinTanG cell
",SAMSUNG GALAXY A30,20
2296,Jakarta Timur,3.209.000,4.9,"
BinTanG cell
",SAMSUNG GALAXY A50,10
2297,Jakarta Timur,3.209.000,4.9,"
BinTanG cell
",SAMSUNG GALAXY A50 2019,17
